x,y,z,value
0,0,0,83.13863309505375
0,0,1,132.5230248395532
0,0,2,67.12128403148685
0,1,0,61.309894176255284
0,1,1,50.43921309344887
0,1,2,44.63826687849967
0,2,0,0.8279308869147649
0,2,1,0.9475166205926877
0,2,2,0.8183497142122713
1,0,0,64.97069925428355
1,0,1,75.93181497760811
1,0,2,70.24130245188515
1,1,0,39.77624663329522
1,1,1,64.55927948082196
1,1,2,21.051608796875094
1,2,0,60.487218501483014
1,2,1,50.69546728927759
1,2,2,44.84837953268961
2,0,0,75.53285643166714
2,0,1,91.6366969568365
2,0,2,71.41374259204287
2,1,0,80.16761752335532
2,1,1,52.09019416999584
2,1,2,47.59320611239923
2,2,0,98.12345056655703
2,2,1,107.36840990031425
2,2,2,44.96673180363326
