x,y,z,value
0,0,0,519.6711483009552
0,0,1,442.5592342060323
0,0,2,402.3353166580643
0,0,3,517.0831132225372
0,0,4,515.6050936694286
0,0,5,520.5346975533968
0,0,6,463.55369142928555
0,0,7,508.27427599974726
0,1,0,397.56647574639203
0,1,1,365.0024491156403
0,1,2,418.2621740514051
0,1,3,472.0157879688479
0,1,4,468.6194634807512
0,1,5,377.673702869269
0,1,6,429.08074780592625
0,1,7,452.6259291706807
1,0,0,513.2426027992784
1,0,1,465.77096311561036
1,0,2,447.06294039140613
1,0,3,462.05866452980746
1,0,4,595.3461959899579
1,0,5,482.7822678941916
1,0,6,528.7798231279061
1,0,7,544.8145977937546
1,1,0,372.3140712421117
1,1,1,325.8759342548413
1,1,2,443.8395458183476
1,1,3,432.24669518789864
1,1,4,464.1862053034841
1,1,5,409.59915878667005
1,1,6,413.5418435202885
1,1,7,438.7005699183617
