x,y,z,value
0,0,0,0.7136469998120304
0,0,1,0.6014735308813683
0,0,2,0.8834711072154785
0,0,3,0.9463858674006232
0,0,4,0.08953777649722583
0,0,5,0.24003521834431196
0,0,6,0.42988197636174397
0,0,7,0.015854664939492613
0,0,8,0.8449967064413652
0,0,9,0.8312045142701497
0,0,10,0.23966496144282612
0,0,11,0.3570109202795654
0,0,12,0.09623764768495957
0,0,13,0.4203506384623257
0,0,14,0.738548076497401
0,0,15,0.6592093957861587
0,1,0,0.7275448716462354
0,1,1,0.1888527195727856
0,1,2,0.2110498399797044
0,1,3,0.043625513301550845
0,1,4,0.8988051042869627
0,1,5,0.543812010232936
0,1,6,0.9526261841555272
0,1,7,0.6588373977836072
0,1,8,0.027154462009551072
0,1,9,0.9005995846862007
0,1,10,0.722421207028692
0,1,11,0.5204007861038704
0,1,12,0.41734223158911343
0,1,13,0.17694232074156124
0,1,14,0.47944741126647294
0,1,15,0.7368143031405149
0,2,0,0.7052569444470353
0,2,1,0.5271991779222405
0,2,2,0.56512084737529
0,2,3,0.08688326127589407
0,2,4,0.9206984587314052
0,2,5,0.3173782723756885
0,2,6,0.10856374053235851
0,2,7,0.34980647765886086
0,2,8,0.8671401178601453
0,2,9,0.3813840719266638
0,2,10,0.10008822682720908
0,2,11,0.359242256264348
0,2,12,0.5879129846410001
0,2,13,0.2193000693857916
0,2,14,0.539170417996633
0,2,15,0.12375809446267583
0,3,0,0.024891342326667676
0,3,1,0.22828309873750086
0,3,2,0.04343113749650207
0,3,3,0.9480413048490154
0,3,4,0.6732840036309795
0,3,5,0.7843768969857318
0,3,6,0.7961520444564808
0,3,7,0.4630842517731486
0,3,8,0.38314735588815385
0,3,9,0.6961555083557017
0,3,10,0.5802139742140066
0,3,11,0.7044192275151223
0,3,12,0.8484116973128146
0,3,13,0.7721155635440317
0,3,14,0.9364059446612041
0,3,15,0.5532092422369571
0,4,0,0.18681029473611432
0,4,1,0.8966200863239289
0,4,2,0.05122845554422817
0,4,3,0.8260330327033384
0,4,4,0.08183793513518178
0,4,5,0.8269199777768207
0,4,6,0.33288377195628205
0,4,7,0.053253212908979775
0,4,8,0.07515831249685745
0,4,9,0.5336670879007622
0,4,10,0.8589595320985153
0,4,11,0.5851835481851716
0,4,12,0.733974522162525
0,4,13,0.8660730865010752
0,4,14,0.6812626897387064
0,4,15,0.1882098860591208
0,5,0,0.3358783531207371
0,5,1,0.8080350651491484
0,5,2,0.40761790084359784
0,5,3,0.9316967532128158
0,5,4,0.7464955351742844
0,5,5,0.7739673824181471
0,5,6,0.21972155448581576
0,5,7,0.1576412953335934
0,5,8,0.1253038218808108
0,5,9,0.7753261076933242
0,5,10,0.6731870481038029
0,5,11,0.7820359015178432
0,5,12,0.4031147001294092
0,5,13,0.6977103471066517
0,5,14,0.14902338187574982
0,5,15,0.41999673528460646
0,6,0,0.7546012911982397
0,6,1,0.610374245933768
0,6,2,0.7900247902215367
0,6,3,0.1405198280300577
0,6,4,0.6861391704827314
0,6,5,0.02484650711295866
0,6,6,0.404411323211322
0,6,7,0.4870723673003243
0,6,8,0.9404134446352317
0,6,9,0.04733599211827122
0,6,10,0.06045997412259718
0,6,11,0.7834535720962612
0,6,12,0.5743541901266244
0,6,13,0.7720606502655654
0,6,14,0.2701957799828839
0,6,15,0.8712843967603829
1,0,0,0.09534627568279963
1,0,1,0.0801334656912861
1,0,2,0.6100948179866323
1,0,3,0.5421543610458317
1,0,4,0.8117666810264836
1,0,5,0.9132480318914578
1,0,6,0.21170902306336137
1,0,7,0.5252907225574868
1,0,8,0.5382223368758514
1,0,9,0.9527165895981424
1,0,10,0.26662671414016204
1,0,11,0.990544615576656
1,0,12,0.48705540781325196
1,0,13,0.13950100418804467
1,0,14,0.7323941803024565
1,0,15,0.7366593079524173
1,1,0,0.006481293581644398
1,1,1,0.20893478063250814
1,1,2,0.83600014129567
1,1,3,0.09195051787771436
1,1,4,0.26997093489599266
1,1,5,0.061780823919453165
1,1,6,0.45655716642638366
1,1,7,0.15552764356147264
1,1,8,0.2280287178906486
1,1,9,0.4634924576177224
1,1,10,0.31462044808215783
1,1,11,0.7746623969865108
1,1,12,0.6363729319491365
1,1,13,0.5685206469187057
1,1,14,0.5029309259801669
1,1,15,0.20677589007988317
1,2,0,0.4214624138831241
1,2,1,0.7440939445447311
1,2,2,0.03955343092472907
1,2,3,0.013256558001313534
1,2,4,0.28475854202671524
1,2,5,0.3181004857540035
1,2,6,0.7573233512364655
1,2,7,0.9163128232638716
1,2,8,0.07797124461605132
1,2,9,0.27256063804480624
1,2,10,0.8899400962949516
1,2,11,0.5920297956057917
1,2,12,0.3714453861392293
1,2,13,0.2988016840830968
1,2,14,0.8988301433779518
1,2,15,0.7913516958954449
1,3,0,0.7936767975157232
1,3,1,0.24739126718489213
1,3,2,0.9356232487176019
1,3,3,0.5143997795595436
1,3,4,0.033281072339974016
1,3,5,0.2852696246507517
1,3,6,0.031661528444893006
1,3,7,0.7983457498890509
1,3,8,0.2526048073608387
1,3,9,0.1837656955263074
1,3,10,0.6051087463982825
1,3,11,0.15685806213800801
1,3,12,0.808046787852641
1,3,13,0.15069759968376162
1,3,14,0.8019188916652307
1,3,15,0.5512420081256979
1,4,0,0.8396247109805968
1,4,1,0.25981077697278676
1,4,2,0.9042216064178785
1,4,3,0.853882412879328
1,4,4,0.06679802674514856
1,4,5,0.5228854926859339
1,4,6,0.9840082123448999
1,4,7,0.6497165117708832
1,4,8,0.40726487941195255
1,4,9,0.6639386514044976
1,4,10,0.8537538837869351
1,4,11,0.6701057758128766
1,4,12,0.736222439687777
1,4,13,0.8623174951935739
1,4,14,0.656390501913467
1,4,15,0.7579033680776694
1,5,0,0.03254223261900935
1,5,1,0.663422009417774
1,5,2,0.2654865823272914
1,5,3,0.25038183180753615
1,5,4,0.9628170202809743
1,5,5,0.9242379815778559
1,5,6,0.4998907196066317
1,5,7,0.1241013282311545
1,5,8,0.17442035845074255
1,5,9,0.5685838962064227
1,5,10,0.8045897749642607
1,5,11,0.9708785232342696
1,5,12,0.19773245872494272
1,5,13,0.33217722229874
1,5,14,0.5815100140412197
1,5,15,0.12733398006977392
1,6,0,0.37438221151514006
1,6,1,0.48869328097247233
1,6,2,0.5092828996481573
1,6,3,0.6462733262853018
1,6,4,0.7985766705979405
1,6,5,0.2730748240602836
1,6,6,0.9401423171217828
1,6,7,0.7115910198374051
1,6,8,0.13968000267238845
1,6,9,0.8938479790507111
1,6,10,0.8792933265458667
1,6,11,0.8933913846923195
1,6,12,0.7591787731592399
1,6,13,0.9099276469551211
1,6,14,0.6609419569768864
1,6,15,0.2524249425831161
2,0,0,0.8738399138579075
2,0,1,0.7337980329167808
2,0,2,0.5772133238731113
2,0,3,0.17747436636560132
2,0,4,0.7251148603301971
2,0,5,0.16090676078968835
2,0,6,0.7252532053220769
2,0,7,0.21543080913623125
2,0,8,0.4110400778575083
2,0,9,0.1531461434349256
2,0,10,0.6024580602381701
2,0,11,0.43768888682364726
2,0,12,0.8043868894601492
2,0,13,0.6712539369673629
2,0,14,0.6568701869247143
2,0,15,0.9836796611974529
2,1,0,0.04013702012184761
2,1,1,0.5558550885256216
2,1,2,0.7047664013753353
2,1,3,0.27322395804160904
2,1,4,0.8414483816092427
2,1,5,0.2285614879754182
2,1,6,0.24256768095805958
2,1,7,0.41005419016645406
2,1,8,0.26083874062153123
2,1,9,0.5651836328135702
2,1,10,0.49706829189548307
2,1,11,0.6421545826388274
2,1,12,0.09708176436270699
2,1,13,0.41146566868853895
2,1,14,0.4519081814857612
2,1,15,0.5939954179649194
2,2,0,0.7167229632898369
2,2,1,0.3786544902381104
2,2,2,0.4321074817107895
2,2,3,0.8390591462288545
2,2,4,0.7556923668328905
2,2,5,0.3667254792287048
2,2,6,0.7952963933012498
2,2,7,0.2834727816387017
2,2,8,0.600223263391509
2,2,9,0.3761636788322489
2,2,10,0.6328616574528246
2,2,11,0.5298254065072534
2,2,12,0.9491496498384503
2,2,13,0.6395001035249396
2,2,14,0.41071179137220504
2,2,15,0.9589705216695138
2,3,0,0.22633032118759056
2,3,1,0.11248670001872851
2,3,2,0.3959952795710948
2,3,3,0.8267241362859937
2,3,4,0.8161294935499375
2,3,5,0.8190667863279899
2,3,6,0.6454230183534233
2,3,7,0.9849860580869552
2,3,8,0.5963816656001034
2,3,9,0.2066513309851724
2,3,10,0.35393304951458515
2,3,11,0.12016087577375911
2,3,12,0.8195076426547886
2,3,13,0.2781030948725821
2,3,14,0.42905654105657187
2,3,15,0.4633633270887645
2,4,0,0.4694063551805526
2,4,1,0.20655671771118145
2,4,2,0.41468010197105254
2,4,3,0.30276046648786203
2,4,4,0.6774844937934152
2,4,5,0.35884854340375294
2,4,6,0.33923621986608365
2,4,7,0.4613359517458895
2,4,8,0.43529236985713815
2,4,9,0.7166036959940774
2,4,10,0.6842935693221126
2,4,11,0.9421909373640159
2,4,12,0.7896835354423732
2,4,13,0.03385663912287673
2,4,14,0.9089063959269211
2,4,15,0.2802105630339147
2,5,0,0.5565677372939766
2,5,1,0.7960041994465286
2,5,2,0.12742810147143957
2,5,3,0.48996115229101633
2,5,4,0.41801334781147104
2,5,5,0.8010099120189619
2,5,6,0.30829028500094013
2,5,7,0.07896401114675111
2,5,8,0.009052120267595165
2,5,9,0.44255755737138025
2,5,10,0.6270606807140217
2,5,11,0.8810505899239609
2,5,12,0.2996832424798962
2,5,13,0.6586609169942741
2,5,14,0.4250258841704315
2,5,15,0.5791698424717139
2,6,0,0.21885840810476376
2,6,1,0.5842705364600683
2,6,2,0.842595258656004
2,6,3,0.5578770180483991
2,6,4,0.2910989814454181
2,6,5,0.5855070975188662
2,6,6,0.22936237887067046
2,6,7,0.22269388342227714
2,6,8,0.029005974222402475
2,6,9,0.46168050574292485
2,6,10,0.03889736891027007
2,6,11,0.7849168856887228
2,6,12,0.6581934789704816
2,6,13,0.6694706632123453
2,6,14,0.874909105456366
2,6,15,0.37655468874153497
3,0,0,0.41329373894598387
3,0,1,0.6331906160811627
3,0,2,0.4360617777705853
3,0,3,0.42704836305899274
3,0,4,0.2725192400671834
3,0,5,0.6058734231079187
3,0,6,0.3443219186310331
3,0,7,0.38173745526196
3,0,8,0.4411832652746124
3,0,9,0.5037571297813763
3,0,10,0.9208518330804006
3,0,11,0.21737743274097876
3,0,12,0.5476873991624418
3,0,13,0.937836728693854
3,0,14,0.9331744113586512
3,0,15,0.6118594953893925
3,1,0,0.978144564729108
3,1,1,0.21078826505915838
