x,y,z,value
0,0,0,0.8046190004909064
0,0,1,0.7737737616603454
0,0,2,0.7837463118075351
0,0,3,0.7473471001411479
0,0,4,0.720437075222644
0,0,5,0.770948679149938
0,0,6,0.7739924872376979
0,0,7,0.7424727246243571
0,1,0,0.9414191279614602
0,1,1,0.9296175833106797
0,1,2,0.9112575928569103
0,1,3,0.9076179511956354
0,1,4,0.8832865952086256
0,1,5,0.9173422985870574
0,1,6,0.9099613877784716
0,1,7,0.8347165452607469
0,2,0,0.8535677604993372
0,2,1,0.8421278335733925
0,2,2,0.8576250611834928
0,2,3,0.8683748899882802
0,2,4,0.8351920850613601
0,2,5,0.855692716215662
0,2,6,0.8619151004408319
0,2,7,0.7805014520437612
1,0,0,0.8448883204488785
1,0,1,0.8227928261186926
1,0,2,0.8289906527196119
1,0,3,0.7786992398207393
1,0,4,0.7963713238065915
1,0,5,0.8121246818343268
1,0,6,0.7987424529389654
1,0,7,0.8197182613921729
1,1,0,0.9759898037713259
1,1,1,0.971000459058648
1,1,2,0.9564253431819952
1,1,3,0.9399498897718598
1,1,4,0.9727397132796765
1,1,5,0.9368002249111322
1,1,6,0.9314919307041175
1,1,7,0.9131064679411957
1,2,0,0.9142979629865813
1,2,1,0.9290494237264486
1,2,2,0.9300713164081295
1,2,3,0.9052407354620915
1,2,4,0.9079375583286
1,2,5,0.8934936918326232
1,2,6,0.9139700291701632
1,2,7,0.8845308754998444
2,0,0,0.8063940901478073
2,0,1,0.7717881558957326
2,0,2,0.8028231065147367
2,0,3,0.7596220194999433
2,0,4,0.7772604377555068
2,0,5,0.7797650689379569
2,0,6,0.7954413449405028
2,0,7,0.817104312866838
2,1,0,0.9798506163235903
2,1,1,0.953898144829688
2,1,2,0.9485112933906917
2,1,3,0.9189882402062941
2,1,4,0.979499041872367
2,1,5,0.901764706010138
2,1,6,0.9496543658467446
2,1,7,0.9571179314946363
2,2,0,0.9676947543051164
2,2,1,1.0
2,2,2,0.9809889443610534
2,2,3,0.936273705699223
2,2,4,0.9630696627432913
2,2,5,0.908996948490488
2,2,6,0.9648868604290877
2,2,7,0.9620712878263973
