x,y,z,value
0,0,0,18.569013016051777
0,0,1,19.040009846700062
0,0,2,18.96641200135727
0,0,3,20.30931078091017
0,0,4,17.709445067396803
0,0,5,20.46453079529452
0,0,6,18.544070625304016
0,0,7,18.124854276302543
0,1,0,20.91496192343762
0,1,1,20.17159802031775
0,1,2,22.027673684104418
0,1,3,20.40014864491646
0,1,4,19.50029911140899
0,1,5,22.414328996234115
0,1,6,19.786800190453114
0,1,7,19.302870188856335
0,2,0,16.770138243668764
0,2,1,17.652266487379713
0,2,2,18.830565773334424
0,2,3,16.713458703549186
0,2,4,17.046859323938694
0,2,5,19.12698947905945
0,2,6,17.766271214217774
0,2,7,16.21355950924626
1,0,0,13.278920885648136
1,0,1,13.749935230323912
1,0,2,13.286754186315298
1,0,3,12.386018722750364
1,0,4,14.175613423483094
1,0,5,14.634540233864357
1,0,6,13.06372577310117
1,0,7,13.037063759561384
1,1,0,14.412069544440502
1,1,1,14.085513911372768
1,1,2,13.933592182431779
1,1,3,13.581979081633555
1,1,4,13.810570295624593
1,1,5,14.94818173985783
1,1,6,14.20641368876515
1,1,7,13.074923929912249
1,2,0,10.59661743117943
1,2,1,11.51696390318693
1,2,2,10.66154778447184
1,2,3,10.575431696014576
1,2,4,10.21502858393706
1,2,5,11.054148712600869
1,2,6,10.346507214137375
1,2,7,10.779461323934324
2,0,0,8.995000940706598
2,0,1,7.989632722336273
2,0,2,7.884881347703359
2,0,3,6.599015382192999
2,0,4,8.807464032435506
2,0,5,7.5811567290643245
2,0,6,8.452760374536457
2,0,7,8.495883296995068
2,1,0,9.777890393319707
2,1,1,9.310243224003633
2,1,2,8.359890213305226
2,1,3,7.891160859490994
2,1,4,7.992320757037716
2,1,5,8.540715664631643
2,1,6,8.684109829446173
2,1,7,9.16160914557673
2,2,0,7.503195985080844
2,2,1,7.922946381314769
2,2,2,7.038474065729137
2,2,3,6.915629077009492
2,2,4,6.426217949649919
2,2,5,5.196135214737287
2,2,6,5.719970790288332
2,2,7,6.857624684011907
